meme text,label
Dávid vs Dávid 1. rész,0
Amit ki kell jelezni digiten amit mi ki tudunk jelezni,0
Tasnádi sus,0
Tasnádi elölről vs hátulról,0
Anál szigó Grafika AdatB Bsz vizsga Digit vizsga Mérnök leszek PPT Szopassuk meg őket,1
Adatb grafika ti ketten fogtok átmenni,0
Smuky ahogy követeli a digit imsc pontjait ca 2021 kolorizált,0
Benes am I out of touch No it is the children who are wrong,0
Hey integrálás why do you always wear that mask antideriválás bonyolult vegyük észre számítások tasnádi let us keep this on,1
Én ahogy végignézem az analízis pusztítását,0
Gyertek egyetemre fasza lesz AdatB és Grafika,1
Én aki megoldotta okosba a feladat Gyakvez aki javítja,1
Az integrálás a deriválás ellentéte Kurvára nem,1
Say something smart Tasnádi Egy nagy számmal szoroztam vagy kis számmal az ugyanaz,0
Szorgalmi időszak 1. hét Vizsgaidőszak 1. hét,0
Osztom az x-et osztjuk az x-et,0
Amikor már volt nálad a katalógus fizikán és szünet lesz It was time for Thomas to leave He had seen everything,1
What if you wanted to leadni prog labor 11. but upc said elment az internet,0
Trade offer i receive nem kell leadnom you receive nem kérjük számon kohári amikor megkérdezik egy algoritmusról,1
Kohári mikor lesz a bináris fa ezen feladata izgalmas also kohári zh-n prog1,1
én tuctuc zenét hallgatva szintén én neotont hallgatva,0
én amikor full hangerőn kezd el szólni a tunak tunakos csengőhangom a buszon,0
analízis gyakvez eddig rendben vagyunk me and the boys have we ever been,1
they tried to make me go to digit i just had to say no no no,1
smuky megszabadult a magyar nyelvtantól 12 év után csináljunk mondatgeneráló programot,1
amikor már csak 5 zh van a félévben amikor rájössz hogy 5 hét van a félévből,1
anya sanya lassan 30 vagy ideje mekomolyodni én igen anya szintén én,0
when they give you the distance and the speed at which that distance is travelled yeah i have got time,0
smuky on bsz be like,0
kp got scammed,1
welcome to the rice fields motherfucker,0
keresztrejtvényfejtés be like tenyészmén csődör kanló,0
kijön végre a jó megoldás a 4. feladatra az agyam ellenőriz én elbaszom az ellenőrzést és végül egy rossz megoldást adok be szintén én,0
smuky és kp oh god he is going for the jukebox,0
amikor az anál gyakvez elkezd angolul beszélni báj dö véj,0
kp here lies legyen 5 db 10 pontos kiszh-d achi,1
0 járda létezik negatív járda létezik,1
amikor elmész bn előadásra és felismer,1
ironic,0
bsc imsc,1
i looked forward in time i saw 14000605 futures hányban sikerült valakinek telepíteni az sdlt clionnal none of them,0
Ne menjen hátul a beszélgetés nagyon zavaró bokor nándi smuky fine i will not,1
digit előadás woah this is worthless,1
hey do atheists go to hell no how about azok akik soloba húzz fel négyessel mennek ki straight to hell to the boiler room of hell all the way down,1
pimples zero blackheads zero kp gurításainak pontszáma zero,1
amikor megkérem ármint hogy gurítson helyettem ármin best i can do is lófasz a seggedbe,0
ármin matatja a golyót 2021 kolorizált,0
fizika kezdőszett solo metropol analízis,0
trade offer i receive +1 pont amit levonnanak ha kp megmondana a prog gyakveznek a hibam you receive +1 pont amit levonnanak ha megmondom a hibad proggyakveznek smuky progor,1
fizika a földszinten fizika a galérián,0
amikor papp zsolt elkezdi az előadást mikor te nagy nehezen beérsz a terembe who the fuck starts a conversation like that i just sat down,0
haverom holnap milyen lesz az első órád én igazolatlan,0
tanulás vizsgák utáni héteken tanulás vizsgahéteken tanulás vizsgák előtti héteken,0
it is alive speak my child menjünk digitre oh fuck i forgot to give you a brain,1
i love honey but you know what i do not know digit,1
integrálás középérettségin háromszög területe v t szorzat márk flexes osztálytársa,1
error error progszorgalmi be like gépház warning,1
ó műszaki szakember what is your wisdom benesóczky ma nem lesz két teremben a digit,1
számológép he does exactly what i do abakusz but better,1
